ISIN,Date,Opening price,Max price,Min price,Closing price,Stock volume
FR0000121329,01/03/13,29.68,31.44,29.525,30.30,2488045
FR0000121329,16/04/13,31.83,31.96,31.36,31.585,236212
FR0000121329,29/05/13,37.475,37.48,36.72,36.82,210013
FR0000121329,10/07/13,37.25,37.69,36.83,37.67,221449
FR0000121329,21/08/13,38.395,38.705,38.255,38.27,131896
FR0000121329,02/10/13,41.39,41.75,40.90,41.365,441040
FR0000121329,13/11/13,44.475,45.485,44.47,45.475,209975
FR0000121329,27/12/13,45.915,46.19,45.575,46.00,218397
FR0000121329,10/02/14,48.385,48.46,47.87,48.08,158826
FR0000121329,24/03/14,47.135,47.25,46.415,46.425,141970
FR0000121329,08/05/14,45.60,45.845,45.19,45.435,151598
FR0000121329,19/06/14,45.025,46.175,45.025,45.915,191000
FR0000121329,31/07/14,43.135,43.31,42.16,42.52,286161
FR0000121329,11/09/14,42.165,42.80,41.885,42.67,185050
FR0000121329,23/10/14,37.525,38.00,37.35,37.885,207715
FR0000121329,04/12/14,43.605,44.035,42.88,43.385,353132
FR0000121329,20/01/15,48.15,48.20,47.865,48.03,222346
FR0000121329,03/03/15,50.98,51.17,50.17,50.32,281610
FR0000121329,16/04/15,54.31,54.42,53.81,53.87,346320
FR0000121329,29/05/15,57.80,58.12,56.64,56.64,1295029
FR0000121329,10/07/15,55.50,55.71,55.06,55.53,321890
FR0000121329,21/08/15,61.98,62.20,60.25,60.25,538846
FR0000121329,02/10/15,62.64,63.29,61.46,62.62,332016
FR0000121329,13/11/15,65.88,65.95,65.14,65.54,251390
FR0000121329,28/12/15,68.83,68.87,67.81,67.90,92499
FR0000121329,09/02/16,61.60,62.17,59.77,61.38,832496
FR0000121329,22/03/16,74.89,75.94,74.46,75.46,410211
FR0000121329,05/05/16,76.16,76.30,74.70,75.25,254428
FR0000121329,16/06/16,71.67,72.48,71.30,72.10,344351
FR0000121329,28/07/16,81.66,82.57,81.56,81.99,375752
FR0000121329,08/09/16,80.15,80.60,79.34,79.58,192058
FR0000121329,20/10/16,85.11,85.37,84.86,85.05,306482
FR0000121329,01/12/16,92.13,92.35,91.50,91.97,273488
FR0000121329,13/01/17,89.37,89.93,89.25,89.41,230963
FR0000121329,24/02/17,88.85,90.34,88.85,89.11,342020
FR0000121329,07/04/17,91.24,91.99,90.81,91.99,233254
FR0000121329,24/05/17,98.00,98.99,97.77,98.48,278485
FR0000121329,05/07/17,93.60,95.41,93.32,94.98,243175
FR0000121329,16/08/17,95.40,96.25,95.23,95.51,182308
FR0000121329,27/09/17,94.89,94.89,93.92,94.66,201707
FR0000121329,08/11/17,89.94,90.39,89.11,89.93,310608
FR0000121329,20/12/17,92.00,92.25,90.80,91.23,311027
FR0000121329,05/02/18,88.76,88.78,87.86,88.30,248067
FR0000121329,19/03/18,96.98,97.20,96.00,97.10,272330
FR0000121329,03/05/18,106.75,109.30,104.85,109.30,576492
FR0000121329,14/06/18,109.25,111.25,108.50,110.70,373108
FR0000121329,26/07/18,113.45,113.85,112.65,113.40,256020
FR0000121329,06/09/18,117.60,119.20,117.45,117.80,333200
FR0000121329,18/10/18,115.15,117.95,111.00,116.45,527256
FR0000121329,29/11/18,108.60,109.05,107.25,107.25,279091
FR0000121329,15/01/19,101.75,102.45,100.75,100.75,291060
FR0000121329,26/02/19,108.55,108.55,106.00,107.90,553774
